axis,model,term,estimate,std_error,t,p,CI_95_low,CI_95_high
PC1,PC1 ~ age + sex,const,-0.07695856086371494,0.040100052973658394,-1.9191635710373947,0.05525203491696213,-0.15564981590318067,0.0017326941757507819
PC1,PC1 ~ age + sex,age,0.298134198576472,0.030323953174452023,9.8316402502445,7.9731216347860485e-22,0.23862729631319748,0.35764110083974654
PC1,PC1 ~ age + sex,sex,0.17824828265623985,0.06118998407028901,2.9130303817612675,0.0036601654525341117,0.058170719529353376,0.2983258457831263
PC1,PC1 ~ age + sex + bmi + waist + hip,const,-0.09946431584574472,0.04774669698678016,-2.0831664203553983,0.03749400586294599,-0.19316148888984416,-0.005767142801645281
PC1,PC1 ~ age + sex + bmi + waist + hip,age,0.3282811042839572,0.03306813703846842,9.927414535087514,3.364307632645065e-22,0.2633888467274348,0.3931733618404796
PC1,PC1 ~ age + sex + bmi + waist + hip,sex,0.23037519524927744,0.08622348654309984,2.6718380859503013,0.007668473271461844,0.06117193200928314,0.39957845848927176
PC1,PC1 ~ age + sex + bmi + waist + hip,bmi,-0.037717411140209905,0.05294777219797376,-0.7123512392397371,0.4764163410763832,-0.1416210712259891,0.0661862489455693
PC1,PC1 ~ age + sex + bmi + waist + hip,waist,-0.0442758959582904,0.06563710159447919,-0.6745559277104718,0.5001165499625548,-0.17308084487263797,0.08452905295605717
PC1,PC1 ~ age + sex + bmi + waist + hip,hip,-0.07968869070790824,0.04522488563000048,-1.7620540018579012,0.0783709530842343,-0.1684371110634985,0.009059729647682035
PC2,PC2 ~ age + sex,const,0.08123030706571296,0.042048304019039105,1.9318331371684478,0.05366636985362844,-0.0012841429204943217,0.16374475705192026
PC2,PC2 ~ age + sex,age,0.07026573251844262,0.03179723485592537,2.209806382121579,0.02734772795191152,0.007867702290375908,0.13266376274650932
PC2,PC2 ~ age + sex,sex,-0.18814232713815132,0.06416288414376475,-2.932261067264301,0.00344282089253261,-0.3140538286401916,-0.06223082563611104
PC2,PC2 ~ age + sex + bmi + waist + hip,const,0.06344128769746017,0.050573372741206275,1.2544405140250683,0.20998012630242002,-0.0358028978944466,0.16268547328936694
PC2,PC2 ~ age + sex + bmi + waist + hip,age,0.08189390962213408,0.035025820126715526,2.3381011301337233,0.0195817596793104,0.013159933524624814,0.15062788571964336
PC2,PC2 ~ age + sex + bmi + waist + hip,sex,-0.14694012536952702,0.0913280456907399,-1.6089266364803625,0.10795346973410895,-0.32616047443857243,0.03228022369951836
PC2,PC2 ~ age + sex + bmi + waist + hip,bmi,-0.0036773394910157384,0.05608235937086926,-0.06557034212305003,0.9477332342330815,-0.1137322513972491,0.10637757241521761
PC2,PC2 ~ age + sex + bmi + waist + hip,waist,-0.038036410897023566,0.06952291601467432,-0.547106092169597,0.5844300256956148,-0.1744668051117463,0.09839398331769919
PC2,PC2 ~ age + sex + bmi + waist + hip,hip,0.0063672804713170335,0.04790226638667169,0.13292232187762756,0.8942820175785444,-0.08763517888370856,0.10036973982634262
