label,PC,eigenvalue,variance_explained,cumulative_variance
odd,1,0.37102633207017033,0.626001671676481,0.626001671676481
odd,2,0.06471358904524388,0.10918582165442067,0.7351874933309017
odd,3,0.04636959827286791,0.07823554159032671,0.8134230349212285
odd,4,0.03255493258862766,0.05492721259994508,0.8683502475211735
odd,5,0.02659452006991495,0.04487070750022101,0.9132209550213946
odd,6,0.009520382112151688,0.016062943791489932,0.9292838988128845
odd,7,0.007492060615758003,0.012640726720385527,0.94192462553327
odd,8,0.007091001811288262,0.011964053772032237,0.9538886793053023
odd,9,0.005580254118090795,0.009415095653221035,0.9633037749585234
odd,10,0.004836964949873792,0.008161006060046648,0.97146478101857
odd,11,0.004404251215399169,0.0074309243981142085,0.9788957054166842
odd,12,0.003653808184664811,0.006164764691560481,0.9850604701082447
odd,13,0.003515430232889469,0.005931291157077897,0.9909917612653226
odd,14,0.002012313834795137,0.0033952086836823835,0.994386969949005
odd,15,0.0009341694562810775,0.0015761459247330867,0.9959631158737381
odd,16,0.0008853544777826648,0.0014937844977897328,0.9974569003715278
odd,17,0.0006735433756104728,0.0011364133556942084,0.998593313727222
odd,18,0.0005281640177071439,0.0008911269347360175,0.9994844406619581
odd,19,0.00020841818942895867,0.00035164656444286674,0.9998360872264009
odd,20,9.71498286978827e-05,0.00016391277359919707,1.0000000000000002
even,1,0.40533002591272593,0.6406097014941085,0.6406097014941085
even,2,0.07463613714881831,0.11795976237366798,0.7585694638677765
even,3,0.04701266215729693,0.07430184182188856,0.832871305689665
even,4,0.033574748065463025,0.05306369615111427,0.8859350018407793
even,5,0.021783947801601172,0.034428755350958636,0.920363757191738
even,6,0.011178026924810614,0.017666474314285956,0.9380302315060239
even,7,0.007271054860795602,0.011491643811565243,0.9495218753175891
even,8,0.006090857024919162,0.009626383073374612,0.9591482583909637
even,9,0.005337799269310644,0.008436202052509239,0.967584460443473
even,10,0.005097199728544864,0.00805594302866191,0.9756404034721349
even,11,0.004361915509902836,0.006893852451343025,0.9825342559234779
even,12,0.00318185095314422,0.005028802356061693,0.9875630582795396
even,13,0.002675263844940679,0.004228159434441794,0.9917912177139814
even,14,0.001542961166785876,0.0024385952909507062,0.9942298130049321
even,15,0.001174048694745386,0.0018555422391587889,0.9960853552440908
even,16,0.0009268763640625201,0.0014648951544287592,0.9975502503985195
even,17,0.000824005283370218,0.001302311067187067,0.9988525614657066
even,18,0.0004361548326192759,0.000689327213053808,0.9995418886787604
even,19,0.00028984866632332046,0.00045809551659473563,0.9999999841953551
even,20,1.000000002887081e-08,1.580464466951516e-08,0.9999999999999998
temporal_first,1,0.5604085632834224,0.6829293314811351,0.6829293314811351
temporal_first,2,0.10041318920909964,0.122366281801047,0.8052956132821821
temporal_first,3,0.05395963959433153,0.06575670503536346,0.8710523183175456
temporal_first,4,0.028691391776910335,0.034964121337951605,0.9060164396554972
temporal_first,5,0.027932867699083656,0.03403976297635296,0.9400562026318501
temporal_first,6,0.011458740510006152,0.013963937221559926,0.95402013985341
temporal_first,7,0.007105721476967798,0.00865922817011371,0.9626793680235237
temporal_first,8,0.006417022802735958,0.007819960971144754,0.9704993289946685
temporal_first,9,0.005132063236493944,0.006254073804088493,0.976753402798757
temporal_first,10,0.003991087276742032,0.004863649031019237,0.9816170518297762
temporal_first,11,0.0035779412237250787,0.004360177856100301,0.9859772296858765
temporal_first,12,0.003462802585242645,0.004219866735681734,0.9901970964215583
temporal_first,13,0.0030005294796121643,0.0036565279795066795,0.993853624401065
temporal_first,14,0.0015561480147879266,0.0018963648899264624,0.9957499892909915
temporal_first,15,0.0011764939283329244,0.0014337079491800585,0.9971836972401715
temporal_first,16,0.0008948666796029493,0.0010905092164998033,0.9982742064566713
temporal_first,17,0.0006878991369724672,0.0008382928608131669,0.9991124993174845
temporal_first,18,0.0004198898713499096,0.0005116893779363421,0.9996241886954208
temporal_first,19,0.0003083789702148123,0.00037579911830350237,0.9999999878137243
temporal_first,20,9.999999993924177e-09,1.2186275796089379e-08,1.0000000000000002
temporal_second,1,0.4241836822289856,0.6347705863491768,0.6347705863491768
temporal_second,2,0.0825747692382657,0.12356919156245695,0.7583397779116338
temporal_second,3,0.04955947528723522,0.07416338370662144,0.8325031616182552
temporal_second,4,0.03454272121803994,0.0516915296846208,0.884194691302876
temporal_second,5,0.025698593849736898,0.03845671620517643,0.9226514075080524
temporal_second,6,0.011659872156079663,0.017448440841427007,0.9400998483494795
temporal_second,7,0.007290558268049172,0.010909971647905555,0.951009819997385
temporal_second,8,0.007006553678261527,0.010484972366844002,0.961494792364229
temporal_second,9,0.005534265065852241,0.008281762896683961,0.9697765552609129
temporal_second,10,0.005124313750976449,0.007668290367163492,0.9774448456280764
temporal_second,11,0.003796822303295913,0.005681762926527987,0.9831266085546044
temporal_second,12,0.003432697304164664,0.005136867286063055,0.9882634758406675
temporal_second,13,0.002767829428837543,0.0041419243197320195,0.9924054001603996
temporal_second,14,0.001806803383393578,0.0027037948208372803,0.9951091949812368
temporal_second,15,0.0010503486033754171,0.0015717964334038992,0.9966809914146407
temporal_second,16,0.0008861244737490445,0.0013260428803491596,0.9980070342949899
temporal_second,17,0.0006693480841233183,0.0010016473844491123,0.999008681679439
temporal_second,18,0.0004654735324573349,0.0006965588717966362,0.9997052405512357
temporal_second,19,0.00019696218339580794,0.0002947444842427457,0.9999999850354784
temporal_second,20,1.0000000004393244e-08,1.4964521579247857e-08,1.0
