axis,n,R2_agesex,R2_full,dR2,F,p,df_diff,f2
PC1,989,0.10176769224999771,0.1204038403939437,0.018636148143945985,6.942327425085442,0.00012625287782667058,3.0,0.02118716406435032
PC2,989,0.012366650637813614,0.0131742049756296,0.0008075543378159855,0.26814118495740885,0.8483895815529142,3.0,0.0008183352541935149
