target,n,n_adipo_feat,demo3_cvR2,adipo_lin_cvR2,adipo_gbm_cvR2,gbm_null_mean,gbm_null_q95,perm_p
PC1,989,9,0.09845645339318275,0.10743629453471085,0.07168615549769915,-0.11223386855102713,-0.07774338794929815,0.000999000999000999
PC2,989,9,-0.007357552956648394,-0.02068492956083878,-0.11940664667603917,-0.11205443785092266,-0.07919523007688302,0.6433566433566433
