PC,var_point,var_mean,var_lo,var_hi,cum_point,cum_mean,cum_lo,cum_hi,median_align_cos
1,37.184236378222174,35.44714536022724,29.132687449337308,42.06869598229052,37.184236378222174,35.44714536022724,29.132687449337308,42.06869598229052,0.9719507843913899
2,24.03913562382307,21.929369889535504,17.9983597023092,26.103328836497592,61.223372002045245,57.37651524976274,52.03385892609492,63.13908319911307,0.9456333218558493
3,17.23845306809872,15.082876964261866,12.028851366728327,18.291427330999586,78.46182507014396,72.45939221402462,68.0495186478911,76.89903077316573,0.9549981274940553
4,5.044307169866704,6.0417012086916095,4.906392372388584,7.401702829942655,83.50613224001066,78.50109342271622,74.67401007486554,82.49444190694558,0.8206139645429265
