PC,variable,point,mean,lo,hi
1,max_glucose::carb,0.4848285278379139,0.4627977548973623,0.3963546370436388,0.5097954503951073
1,max_glucose::fat,-0.028897277967980695,-0.006992085438353207,-0.13087021523280704,0.11838939595397181
1,max_glucose::protein,-0.13346023553188702,-0.12964107855970758,-0.28783366178354114,0.03331572670539839
1,max_glucose::fiber,-0.2794057993552362,-0.24882845412228413,-0.3356291820413574,-0.15122767276196447
1,peak_duration::carb,0.1279446736788519,0.17744272161745403,0.12027461536650526,0.23469038190958702
1,peak_duration::fat,-0.04741168965033815,-0.0193715008612047,-0.10223012951801698,0.0614997647052569
1,peak_duration::protein,-0.018432839318481137,-0.039661195530264474,-0.1394009050007297,0.05987113239632004
1,peak_duration::fiber,-0.07665224632563714,-0.09749215360815239,-0.17759283900964043,-0.009543749480771658
1,end_glucose::carb,0.39845077227224907,0.4005080525819756,0.3033721329312369,0.4823102231954412
1,end_glucose::fat,-0.07170610879736611,0.0036495651686957813,-0.15293381706158388,0.12258532243693804
1,end_glucose::protein,-0.010111926016500397,-0.07896966739845052,-0.23530826607566183,0.09003020422284
1,end_glucose::fiber,-0.21801657867338153,-0.20048675488018625,-0.3088122384296078,-0.09943794405436629
1,positive_iAUC::carb,0.5390114553957189,0.5399425318815595,0.4748133631926684,0.583988640199361
1,positive_iAUC::fat,-0.07368063921806017,-0.02660558586664929,-0.1802618864522996,0.12997329859845466
1,positive_iAUC::protein,-0.14944104804998617,-0.1645763509406372,-0.34678004955467534,0.02358404396503679
1,positive_iAUC::fiber,-0.33698796773105955,-0.2846090159897968,-0.3942825471838854,-0.15850082983074043
2,max_glucose::carb,-0.026271536301853648,0.016268853765719838,-0.16971902124401822,0.21709267246084177
2,max_glucose::fat,-0.2680158229926166,-0.24999202575650345,-0.4066058076749725,-0.014947164257984999
2,max_glucose::protein,0.4510571873748607,0.4193121258037297,0.2916212641850206,0.489608093466206
2,max_glucose::fiber,-0.13227792556353976,-0.16547775564979325,-0.34745217287369246,0.05463804599936442
2,peak_duration::carb,0.0188285458687,0.03131853847985798,-0.06777309810660895,0.12826138820282781
2,peak_duration::fat,-0.06309431091236625,-0.12030236861841478,-0.24892811166401335,0.022063752650705787
2,peak_duration::protein,0.15182619514986057,0.2069457898288526,0.10565032980303667,0.28980509638201674
2,peak_duration::fiber,-0.09737105552182701,-0.11770306306642053,-0.25559206306028004,0.03915201795429437
2,end_glucose::carb,-0.00030834993445010136,-0.021419321088743646,-0.19713808654162854,0.16742944067350188
2,end_glucose::fat,-0.2475650551799213,-0.2000467911767974,-0.3655693148867197,0.0036072961344586095
2,end_glucose::protein,0.4031440250608899,0.35217631867868077,0.2520528894590165,0.4354132316115106
2,end_glucose::fiber,-0.11981855865067446,-0.1420379621872218,-0.3003623137887337,0.052735592264096555
2,positive_iAUC::carb,-0.0396551750163453,0.022067712263800467,-0.19102228948858907,0.2551852890669971
2,positive_iAUC::fat,-0.3188746229854134,-0.2891768684228166,-0.4922600669376389,0.013719113845554845
2,positive_iAUC::protein,0.5464276390669117,0.4801018700498365,0.33016434813948314,0.5580098788023241
2,positive_iAUC::fiber,-0.1721995950768103,-0.19352472391917894,-0.44024051800817143,0.10819817849419287
3,max_glucose::carb,0.1516802134277836,0.1535936005315904,0.02259595957634327,0.26563000376591506
3,max_glucose::fat,-0.3226197912536236,-0.330572335473098,-0.45575514168882497,-0.13046053632723761
3,max_glucose::protein,-0.11048595624957128,-0.06284358609192157,-0.31016537313805825,0.20148900483574486
3,max_glucose::fiber,0.32214465218961463,0.30916902562583687,0.15022329075631255,0.4174082966444509
3,peak_duration::carb,0.03374489887814909,0.0567027245445646,-0.05003096142063971,0.15822203581026156
3,peak_duration::fat,-0.15361862730554474,-0.19550742187860384,-0.31353225770595305,-0.07444286063151379
3,peak_duration::protein,-0.09026569057382122,-0.05460449388243728,-0.19910366645827213,0.09697393226554715
3,peak_duration::fiber,0.20392976268234697,0.2096157358147886,0.08831537943562996,0.3095739286311594
3,end_glucose::carb,0.17476598354754894,0.15899272323058328,0.013558247086485526,0.3118395716668301
3,end_glucose::fat,-0.34422127611621706,-0.27790584980260563,-0.4069715163943973,-0.11413305844698839
3,end_glucose::protein,0.006684154727083537,-0.02120459382789169,-0.23677378573918928,0.22812149267750692
3,end_glucose::fiber,0.2716138545651709,0.2614177624321451,0.13058615106965574,0.3722085314841576
3,positive_iAUC::carb,0.1165344584871771,0.1474987538196646,0.0032040111049292308,0.2793161874747609
3,positive_iAUC::fat,-0.4512071992324118,-0.42071936261774695,-0.5452913621369353,-0.1807727444232288
3,positive_iAUC::protein,-0.1472567081750912,-0.10354985259084876,-0.3745894220752402,0.21503483920778974
3,positive_iAUC::fiber,0.46984003790229706,0.4298451596222369,0.24686943829112964,0.5364944778696324
4,max_glucose::carb,-0.2663839796237688,-0.23810732963533343,-0.33717979035128987,-0.10907413968026675
4,max_glucose::fat,0.1917511733497988,0.09037627815648526,-0.09521588507840281,0.2960861164087443
4,max_glucose::protein,0.09680828455693184,0.13264384201275975,-0.09514123842669744,0.31975609438931557
4,max_glucose::fiber,0.1844102806644964,0.18901738062800671,0.06325624359981512,0.3109874101640228
4,peak_duration::carb,0.12345321266761403,0.2203750961877903,-0.13914410532527322,0.5015021472607444
4,peak_duration::fat,-0.11806643377693418,-0.0941637004145642,-0.4945828523346886,0.32320577945797846
4,peak_duration::protein,0.11830904434577022,0.1435797395618656,-0.31383570726916643,0.5806375984770692
4,peak_duration::fiber,-0.13994014665542343,-0.18958500256758334,-0.4650429055664998,0.1491365046644332
4,end_glucose::carb,0.8222620039197118,0.589693449442816,0.30977400445936026,0.7783318560595149
4,end_glucose::fat,0.012397212921620398,0.13674949502075454,-0.1385481957444537,0.3493137825078667
4,end_glucose::protein,-0.10307886623633482,-0.1746974687444388,-0.4488601093074805,0.14674805251421374
4,end_glucose::fiber,-0.11865551188860973,-0.10546569996621727,-0.3369146054999185,0.1383654163476529
4,positive_iAUC::carb,-0.2558487495366616,-0.18340476289237947,-0.3017178963452137,-0.04021693837931661
