PC,var_point,var_mean,var_lo,var_hi,cum_point,cum_mean,cum_lo,cum_hi,median_align_cos
1,69.3247453958764,67.91439549941654,64.14200840310849,70.97074581947906,69.3247453958764,67.91439549941654,64.14200840310849,70.97074581947906,0.9991379880713491
2,11.793465332028568,11.817864735462312,10.229278081315849,13.46352609074089,81.11821072790497,79.73226023487885,76.19129215927278,82.38254547773728,0.9920432803774268
3,5.035120032894636,5.340839275425414,4.512297678902125,6.310319825200322,86.1533307607996,85.07309951030425,82.07904493620534,87.38590980530064,0.9089638647599085
