PC,variable,point,mean,lo,hi
1,max_glucose::intercept,0.4637808346363103,0.4626960932796425,0.4505943557308632,0.47460010965055305
1,max_glucose::carb,0.25432829463299556,0.2542468252796187,0.23616527849833704,0.27272363530274973
1,max_glucose::fat,-0.023342527939760663,-0.028070571478411546,-0.04544969887177094,-0.011902807639049265
1,max_glucose::protein,-0.025053529396945162,-0.027029001062616808,-0.0445838233160613,-0.009307980859483884
1,max_glucose::fiber,-0.019323466660765513,-0.020284492695102217,-0.03766316560291878,-0.0019516521988681332
1,peak_duration::intercept,0.2815886622138771,0.2832809102392707,0.2669677791621092,0.2984370322759789
1,peak_duration::carb,-0.0034767144020923396,-0.0015968635828014842,-0.01901993707698979,0.016224627568724902
1,peak_duration::fat,-0.002211739864284073,-0.004241193820003753,-0.021080008114205566,0.01185977883271746
1,peak_duration::protein,0.0013875848608694526,0.003553331965390135,-0.014181126111947363,0.022075700991661184
1,peak_duration::fiber,-0.01586375901698545,-0.01684895967578403,-0.03523134925487869,0.0006555829180318985
1,end_glucose::intercept,0.437816966949114,0.4354649075154445,0.4151372448349307,0.4557451909795649
1,end_glucose::carb,0.2031830596619074,0.2088399731510976,0.18649271904191303,0.23134468763530128
1,end_glucose::fat,0.005303728353499985,-0.003562378583919879,-0.022272259835811246,0.014005916817175286
1,end_glucose::protein,-0.018727928150014304,-0.0160596352599554,-0.035869448611815125,0.0032471091210091335
1,end_glucose::fiber,-0.01637871202932299,-0.018993177372775057,-0.03807524928115353,-0.0008421369715071603
1,positive_iAUC::intercept,0.5440916824951182,0.5410582182233051,0.5310996448318873,0.5508415011358907
1,positive_iAUC::carb,0.3276143042232244,0.3287532790402628,0.3068342482846701,0.3508996536777073
1,positive_iAUC::fat,-0.021206583293164865,-0.02497124785006149,-0.0445026711119511,-0.006339459438180111
1,positive_iAUC::protein,-0.0330906034271346,-0.03113472291065908,-0.05073202190070034,-0.011264876099105202
1,positive_iAUC::fiber,-0.024289721666957587,-0.027658683090626864,-0.048397437692982305,-0.00726468478757339
2,max_glucose::intercept,-0.06604591747628004,-0.07459033046699258,-0.13183340256893003,-0.011732838463460453
2,max_glucose::carb,0.3930286801762237,0.38202810549129046,0.35045609432814234,0.40964089988786295
2,max_glucose::fat,-0.06858338248187437,-0.0799308041800477,-0.1333406825613317,-0.020053265232205676
2,max_glucose::protein,-0.05460074254670051,-0.03571710648750044,-0.10419629512194625,0.03212179802427707
2,max_glucose::fiber,-0.14446677077000858,-0.1439090209982787,-0.19576651353737884,-0.09035402793098095
2,peak_duration::intercept,-0.3183939740110872,-0.3028488115692483,-0.3404186546469739,-0.26146774335342426
2,peak_duration::carb,0.17817804468105036,0.19141129798181616,0.1536162589628124,0.22900775117420288
2,peak_duration::fat,-0.012307048775322607,-0.01870486110581645,-0.06761729848978015,0.03195267494190832
2,peak_duration::protein,0.023426670706489888,0.03606347707088472,-0.021276446520836413,0.08736252272199764
2,peak_duration::fiber,-0.022599902793693685,-0.03653543494366509,-0.08438807962712054,0.013312923325093028
2,end_glucose::intercept,-0.4751671982800944,-0.4737282676689306,-0.5359142460080399,-0.4035047301373046
2,end_glucose::carb,0.3463638774943809,0.3438965159960158,0.27862678127778173,0.40815208447115625
2,end_glucose::fat,-0.098515897440536,-0.11201202464976312,-0.17007027484050619,-0.0548096650620768
2,end_glucose::protein,0.023265156326440332,0.03592229591861751,-0.032772917390354026,0.10224289714101066
2,end_glucose::fiber,-0.10401543669014336,-0.10719258874786547,-0.16190134193199646,-0.049291404186472265
2,positive_iAUC::intercept,-0.04476276426191159,-0.04746812673244706,-0.09154195903120986,-0.002585820623518085
2,positive_iAUC::carb,0.5124766867582222,0.5055637049316751,0.4764445133010261,0.5298549217192351
2,positive_iAUC::fat,-0.11192331490480706,-0.12005166836984787,-0.18390160630099153,-0.05340749030508812
2,positive_iAUC::protein,-0.04203299276007257,-0.015325561931730174,-0.09596751277959695,0.06394734440276444
2,positive_iAUC::fiber,-0.1803616777262195,-0.17835097980526515,-0.24489225174602983,-0.11397653637131998
3,max_glucose::intercept,-0.4634081499856179,-0.4166987830385854,-0.5014787427820802,-0.2945208637773824
3,max_glucose::carb,-0.07309406830742114,-0.08093717909185331,-0.16484201332979304,0.014626017552614123
3,max_glucose::fat,0.022029546903126314,0.015298584023104288,-0.21571691373839852,0.22991671061208374
3,max_glucose::protein,0.012166702828445859,0.015028480434320153,-0.281581781420567,0.3094363715266645
3,max_glucose::fiber,-0.22068842671003322,-0.18001794325638176,-0.31894967343437025,-0.019508750917688028
3,peak_duration::intercept,0.142549050848629,0.1329227306575387,0.005900073734657631,0.23545856648475672
3,peak_duration::carb,0.058001400647535103,0.06640937989377264,-0.008896696886989118,0.13547839904702064
3,peak_duration::fat,-0.04848182661016394,-0.04528186424560471,-0.17668112927351587,0.09739767612634222
3,peak_duration::protein,0.0007863300176447119,0.007830976368024269,-0.1766269757811372,0.18401055645899175
3,peak_duration::fiber,-0.11025740354018314,-0.10899057710282142,-0.22079561730444017,0.019984483666442728
3,end_glucose::intercept,0.5355407404836785,0.4718185175952043,0.3344009000737541,0.5682309347092577
3,end_glucose::carb,0.42847289430547053,0.3773998974952132,0.16077787460108667,0.5268452346776017
3,end_glucose::fat,-0.06869809681234844,-0.05538058337913831,-0.2766336252340057,0.16517000915472801
3,end_glucose::protein,-0.05607373349487013,-0.07035528827788444,-0.3282321579494229,0.22063606053406856
3,end_glucose::fiber,-0.24093159774459927,-0.2218280749426484,-0.3397091492032281,-0.08956238280211745
3,positive_iAUC::intercept,-0.28038926069206876,-0.2430013361761538,-0.3066416841433711,-0.13119329588635814
3,positive_iAUC::carb,0.02516814684880082,0.02139108908426715,-0.06660466869372358,0.10310890729451187
3,positive_iAUC::fat,-0.011292989431072811,-0.005236315799211246,-0.28552136791548294,0.25742505658346826
3,positive_iAUC::protein,0.016130976985597623,0.013183422643750132,-0.3339489351730772,0.3631644303643339
3,positive_iAUC::fiber,-0.27647294854368176,-0.21958896736974906,-0.40325118233007395,-0.017232632790659435
